rebalance_id,trade_date,signal_count,positions_bought_count,positions_sold_count,cash_after_rebalance,position_count_end,rationale_text
S1_T1-R001,2019-02-14,3,3,0,0.000000000000,3,"exposure_state=initial; selected=Consumer Staples,Financials,Industrials"
S1_T1-R002,2019-02-28,3,3,3,0.000000000000,3,"exposure_state=initial; selected=Consumer Discretionary,Health Care,Technology"
S1_T1-R003,2019-05-14,3,0,3,0.260974149119,3,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T1-R004,2019-08-07,3,3,0,0.000000000000,3,"exposure_state=expanding; selected=Consumer Discretionary,Health Care,Technology"
S1_T1-R005,2019-10-22,3,0,3,0.278574459386,3,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T1-R006,2020-02-05,3,1,2,0.311071736533,3,"exposure_state=stable; selected=Consumer Discretionary,Health Care,Technology"
S1_T1-R007,2020-02-26,1,1,2,0.295949607158,1,exposure_state=stable; selected=Technology
S1_T1-R008,2020-05-18,1,1,0,0.000000000000,1,exposure_state=expanding; selected=Technology
S1_T1-R009,2020-08-17,1,0,1,0.735867762440,1,exposure_state=contracting; selected=Technology
S1_T1-R010,2020-11-17,1,0,1,0.760217587808,1,exposure_state=contracting; selected=Technology
S1_T1-R011,2021-02-26,2,1,1,0.790224618493,2,"exposure_state=contracting; selected=Consumer Discretionary,Technology"
S1_T1-R012,2021-05-18,2,2,0,0.000000000000,2,"exposure_state=expanding; selected=Consumer Discretionary,Technology"
S1_T1-R013,2021-08-17,2,0,2,0.448899008213,2,"exposure_state=stable; selected=Consumer Discretionary,Technology"
S1_T1-R014,2022-03-04,5,3,2,0.441332934856,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology"
S1_T1-R015,2022-10-12,5,4,1,0.380023290726,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology"
S1_T1-R016,2022-11-15,5,2,3,0.410845213576,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology"
S1_T1-R017,2022-12-23,5,5,0,0.000000000000,5,"exposure_state=expanding; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology"
S1_T1-R018,2023-02-15,5,0,5,0.447724689314,5,"exposure_state=stable; selected=Communication Services,Consumer Discretionary,Energy,Real Estate,Technology"
S1_T1-R019,2023-03-08,4,4,4,0.432659892248,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care"
S1_T1-R020,2023-05-16,4,2,2,0.426585473625,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care"
S1_T1-R021,2023-08-15,4,2,2,0.444935592879,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care"
S1_T1-R022,2023-11-15,4,3,1,0.438970367831,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care"
S1_T1-R023,2024-02-15,4,2,2,0.477514780518,4,"exposure_state=stable; selected=Consumer Staples,Energy,Financials,Health Care"
S1_T1-R024,2024-02-28,2,2,4,0.481513009744,2,"exposure_state=stable; selected=Consumer Discretionary,Technology"
S1_T1-R025,2024-05-16,2,0,2,0.973887828205,2,"exposure_state=contracting; selected=Consumer Discretionary,Technology"
S1_T1-R026,2024-08-15,1,1,1,0.993295573231,1,exposure_state=contracting; selected=Technology
S1_T1-R027,2024-10-01,1,0,1,0.993338029503,1,exposure_state=contracting; selected=Technology
S1_T1-R028,2024-11-15,1,1,0,0.000000000000,1,exposure_state=expanding; selected=Technology
S1_T1-R029,2025-02-18,1,0,1,0.537717844563,1,exposure_state=stable; selected=Technology
S1_T1-R030,2025-02-26,2,1,1,0.519132199538,2,"exposure_state=stable; selected=Consumer Discretionary,Technology"
S1_T1-R031,2025-05-16,2,0,2,0.526406366122,2,"exposure_state=stable; selected=Consumer Discretionary,Technology"
S1_T1-R032,2025-08-13,1,1,2,0.572387870193,1,exposure_state=stable; selected=Financials
S1_T1-R033,2025-08-15,1,0,1,1.139893816525,1,exposure_state=contracting; selected=Financials
S1_T1-R034,2025-11-17,1,1,0,1.130754835970,1,exposure_state=contracting; selected=Financials
S1_T1-R035,2026-02-18,1,0,1,1.145294918638,1,exposure_state=contracting; selected=Financials
S1_T1-R036,2026-03-02,1,1,1,1.131248204389,1,exposure_state=contracting; selected=Technology
S1_T1-R037,2026-05-18,1,1,0,0.636634218446,1,exposure_state=stable; selected=Technology
